"Group By WeekReport for roncordell"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 07/16/2012,1,20.05,1:19:32,--,15.1,111,--,78,"1,357",
 03/26/2012,1,19.26,1:37:06,--,11.9,112,--,67,"1,645",
 03/19/2012,3,71.52,5:27:23,--,13.1,124,--,71,"5,972",
 03/12/2012,1,21.86,1:46:31,--,12.3,115,--,68,"1,985",
 03/05/2012,3,71.37,5:24:44,--,13.2,126,--,71,"6,148",
 02/20/2012,3,89.41,6:38:28,--,13.5,118,--,33,"7,438",
 02/13/2012,2,50.23,3:51:30,--,13.0,115,--,0,"4,237",
 02/06/2012,4,113.25,8:18:50,--,13.6,122,--,0,"9,541",
 01/30/2012,3,71.93,5:34:06,--,12.9,115,--,0,"5,972",
 01/23/2012,3,109.46,8:12:17,--,13.3,125,--,0,"9,041",
 01/09/2012,3,75.50,5:33:45,--,13.6,121,--,0,"6,388",
 01/02/2012,3,96.44,7:10:22,--,13.4,125,--,0,"8,182",
 12/26/2011,2,77.88,5:33:08,--,14.0,126,--,0,"6,551",
 12/19/2011,3,69.29,5:22:43,--,12.9,118,--,0,"6,452",
 12/12/2011,2,45.90,3:36:14,--,12.7,125,--,0,"4,894",
 12/05/2011,2,48.12,3:33:09,--,13.5,117,--,0,"5,267",
 11/28/2011,1,23.46,1:54:52,--,12.3,120,--,0,"2,596",
 11/21/2011,2,51.42,3:40:55,--,14.0,119,--,0,"5,089",
 11/14/2011,3,66.87,5:04:49,--,13.2,117,--,0,"6,301",
 10/03/2011,1,25.90,1:52:31,--,13.8,118,--,0,"2,143",
 09/26/2011,1,23.61,1:51:19,--,12.7,130,--,0,"2,512",
 08/15/2011,3,70.97,4:54:33,--,14.5,122,--,0,"6,607",
 08/08/2011,4,107.49,7:41:55,--,14.0,121,--,0,"10,394",
 08/01/2011,3,85.44,6:16:47,--,13.6,124,--,0,"8,554",
 07/25/2011,1,58.62,3:33:02,--,16.5,124,--,0,"4,823",
 07/18/2011,3,97.99,6:59:56,--,14.0,131,--,0,"9,917",
 07/11/2011,1,21.94,1:42:51,--,12.8,122,--,0,"2,518",
 07/04/2011,2,41.27,2:56:55,--,14.0,117,--,0,"3,413",
 06/27/2011,1,23.27,1:45:59,--,13.2,110,--,0,"2,472",
 06/20/2011,3,70.80,5:03:04,--,14.0,119,--,0,"7,216",
 06/13/2011,3,63.48,4:36:36,--,13.8,116,--,0,"6,050",
 06/06/2011,1,23.06,1:48:35,--,12.7,115,--,0,"2,471",
 05/30/2011,1,12.93,43:25,--,17.9,115,--,0,796,
 05/23/2011,1,15.43,1:16:52,--,12.0,111,--,0,"1,692",
 05/09/2011,3,48.51,3:28:41,--,13.9,118,--,0,"4,771",
 05/02/2011,2,49.23,3:34:45,--,13.8,111,--,0,"4,857",
 04/25/2011,3,114.29,8:06:44,--,14.1,123,--,0,"10,375",
 04/11/2011,4,67.34,4:37:16,--,14.6,115,--,0,"5,217",
 04/04/2011,1,25.82,1:50:25,--,14.0,117,--,0,"2,342",
 03/28/2011,4,109.56,8:17:38,--,13.2,118,--,0,"10,394",
 03/07/2011,5,108.97,7:47:32,--,14.0,114,--,0,"9,731",
 02/28/2011,2,39.17,4:29:31,--,8.7,122,--,0,"5,102",
 02/21/2011,2,49.68,3:29:42,--,14.2,121,--,0,"4,430",
 01/31/2011,1,21.20,1:38:09,--,13.0,114,--,0,"2,321",
 01/24/2011,2,38.94,2:54:29,--,13.4,116,--,0,"4,195",
 01/17/2011,4,79.96,5:53:28,--,13.6,119,--,0,"7,734",
 01/10/2011,1,25.76,1:56:20,--,13.3,117,--,0,"2,161",
 01/03/2011,1,13.19,1:06:30,--,11.9,115,--,0,"1,227",
 12/27/2010,1,21.83,1:47:58,--,12.1,115,--,--,"1,804",
 12/20/2010,1,34.22,2:43:44,--,12.5,115,--,0,"3,776",
 11/29/2010,2,43.66,3:24:06,--,12.8,119,--,0,"4,373",
 11/22/2010,2,39.92,3:03:08,--,13.1,118,--,0,"3,397",
 11/15/2010,2,24.29,1:54:18,--,12.7,110,--,0,"2,117",
 11/08/2010,3,66.54,5:00:46,--,13.3,124,--,0,"6,723",
 11/01/2010,2,19.07,1:34:13,--,12.1,105,--,0,"1,694",
 10/25/2010,1,22.16,1:41:25,--,13.1,110,--,0,"2,116",
 10/18/2010,2,42.60,3:11:10,--,13.4,114,--,0,"3,897",
 10/11/2010,3,65.13,4:38:49,--,14.0,117,--,0,"5,891",
 10/04/2010,3,63.43,4:40:44,--,13.6,115,--,0,"6,042",
 09/27/2010,2,49.12,3:31:48,--,13.9,112,--,0,"4,526",
 09/20/2010,2,45.41,3:21:31,--,13.5,117,--,0,"4,421",
 09/13/2010,3,66.60,5:00:47,--,13.3,122,--,0,"6,118",
 08/30/2010,2,45.69,3:42:47,--,12.3,101,--,0,"4,697",
 08/23/2010,3,86.34,6:52:10,--,12.6,119,--,0,"8,670",
 08/16/2010,1,20.64,1:26:17,--,14.3,124,--,0,"1,948",
 08/09/2010,1,24.12,1:45:17,--,13.7,111,--,0,"2,387",
 08/02/2010,3,40.70,4:20:30,--,9.4,115,--,0,"4,820",
 07/26/2010,2,43.83,3:46:29,--,11.6,115,--,0,"4,437",
 07/19/2010,2,67.74,5:05:31,--,13.3,118,--,0,"6,872",
 07/12/2010,2,39.67,3:39:23,--,10.9,114,--,0,"4,399",
 06/28/2010,2,41.46,3:17:02,--,12.6,127,--,0,"4,111",
 06/21/2010,3,46.59,3:46:42,--,12.3,115,--,0,"4,890",
 06/14/2010,2,44.62,3:41:31,--,12.1,119,--,0,"4,539",
 06/07/2010,2,47.38,3:53:40,--,12.2,116,--,0,"4,707",
 05/31/2010,1,18.79,2:02:42,--,9.2,111,--,--,"1,983",
 05/24/2010,2,43.65,3:16:03,--,13.4,109,--,0,"3,935",
 05/17/2010,3,90.33,6:41:39,--,13.5,114,--,0,"9,219",
 05/10/2010,2,43.91,3:25:53,--,12.8,111,--,0,"4,062",
 05/03/2010,2,61.54,4:30:04,--,13.7,118,--,0,"6,663",
 04/26/2010,1,23.90,1:48:55,--,13.2,117,--,0,"2,303",
 04/19/2010,3,74.43,5:24:39,--,13.8,116,--,0,"7,943",
 04/12/2010,2,54.61,4:06:38,--,13.3,111,--,0,"5,578",
 04/05/2010,2,44.16,3:06:41,--,14.2,110,--,0,"4,174",
 03/29/2010,1,21.23,1:34:24,--,13.5,119,--,0,"2,512",
 03/15/2010,1,25.59,1:53:17,--,13.6,--,--,0,"2,063",
 02/08/2010,1,37.13,2:55:25,--,12.7,--,--,--,"2,676",
 02/01/2010,1,27.20,1:34:44,--,17.2,--,--,0,"2,314",
 01/25/2010,1,25.91,1:31:53,--,16.9,--,--,--,"1,853",
 12/21/2009,1,39.72,2:20:22,--,17.0,129,--,0,"3,715",
 11/23/2009,1,55.05,2:56:39,--,18.7,125,--,0,"5,008",
 11/16/2009,1,51.33,2:42:56,--,18.9,123,--,0,"3,646",
 11/09/2009,2,41.15,2:15:43,--,18.2,113,--,0,"3,055",
 11/02/2009,1,67.87,3:50:30,--,17.7,130,--,0,"4,990",
 10/19/2009,1,23.87,1:14:09,--,19.3,129,--,0,"1,740",
 10/12/2009,1,70.90,3:58:37,--,17.8,128,--,0,"4,941",
 10/05/2009,2,81.71,4:11:53,--,19.5,124,--,0,"5,847",
 09/28/2009,3,182.11,9:27:33,--,19.3,120,--,0,"13,303",
 09/21/2009,2,52.68,2:48:12,--,18.8,123,--,0,"4,287",
 09/07/2009,3,123.73,6:18:21,--,19.6,126,--,0,"9,104",
 08/31/2009,1,26.22,1:16:31,--,20.6,118,--,0,"1,869",
 08/24/2009,4,118.78,6:20:08,--,18.7,118,--,85,"8,614",
 08/17/2009,3,129.57,6:43:10,--,19.3,121,--,85,"9,444",
 08/10/2009,3,124.61,6:32:29,--,19.1,121,--,86,"9,047",
 08/03/2009,2,99.67,5:13:25,--,19.1,120,--,86,"7,344",
 07/27/2009,3,90.00,4:40:03,--,19.3,118,--,86,"6,455",
 07/20/2009,3,109.89,5:25:25,--,20.3,115,--,42,"7,859",
 07/13/2009,3,125.89,6:38:37,--,18.9,115,--,83,"8,914",
 07/06/2009,2,128.80,7:07:54,--,18.1,125,--,85,"9,609",
 06/29/2009,1,28.61,1:31:21,--,18.8,129,--,86,"2,063",
 06/22/2009,4,121.80,6:10:49,--,19.7,123,--,85,"8,529",
 06/15/2009,3,108.16,5:39:27,--,19.1,122,--,85,"7,805",
 06/08/2009,2,89.77,5:08:07,--,17.5,120,--,83,"6,479",
 06/01/2009,2,55.33,3:00:24,--,18.4,120,--,83,"3,953",
 05/25/2009,1,28.42,1:29:03,--,19.2,127,--,85,"2,035",
 05/18/2009,4,98.12,5:13:41,--,18.8,117,--,83,"7,021",
 05/11/2009,4,81.59,5:24:03,--,15.1,117,--,83,"5,819",
 05/04/2009,1,54.96,2:43:59,--,20.1,110,--,84,"3,878",
 04/27/2009,2,126.72,7:36:44,--,16.6,113,--,77,"9,995",
 04/20/2009,3,108.12,6:42:59,--,16.1,119,--,81,"7,406",
 04/13/2009,1,66.52,4:31:33,--,14.7,109,--,79,"4,003",
 04/06/2009,2,81.89,4:57:25,--,16.5,113,--,79,"5,398",
 03/30/2009,2,62.83,4:04:25,--,15.4,115,--,77,"3,979",
 03/16/2009,1,45.53,3:03:25,--,14.9,116,--,79,"2,866",
 03/02/2009,1,36.42,2:44:44,--,13.3,113,--,79,"2,291",
 02/16/2009,1,33.93,2:15:37,--,15.0,110,--,74,"2,008",
 02/09/2009,1,40.22,2:56:23,--,13.7,105,--,77,"2,454",
 01/26/2009,1,39.08,2:33:37,--,15.3,123,--,80,"2,462",
 01/05/2009,2,44.58,3:00:51,--,14.8,119,--,77,"2,757",
 04/21/2008,1,28.80,1:39:10,"1,733",17.4,118,--,--,"1,720",
 Summary,619,"16,596.69",1198:09:37,"535,133",13.9,120,--,45,"1,507,802",
